ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60632,15,04/05/2020,04/11/2020,114,204,125,224.1,259,550,284,604.1,0.4,0.4,6,8,6.6,8.8,91039,60632-15,POINT (-87.711251 41.810038)
60637,42,10/11/2020,10/17/2020,42,1032,88,2174.7,508,14958,1070,31521.1,0.1,0.1,0,27,0.0,56.9,47454,60637-42,POINT (-87.604053 41.780991)
60638,15,04/05/2020,04/11/2020,67,163,114,277.2,222,615,378,1046,0.3,0.3,2,3,3.4,5.1,58797,60638-15,POINT (-87.771902 41.787032)
60666,27,06/28/2020,07/04/2020,,,,,0,7,0,0,,,0,0,0.0,0.0,0,60666-27,POINT (-87.896371 41.979511)
60666,29,07/12/2020,07/18/2020,,,,,0,7,0,0,,,0,0,0.0,0.0,0,60666-29,POINT (-87.896371 41.979511)
60632,24,06/07/2020,06/13/2020,92,3173,101,3485.3,599,8191,658,8997.2,0.2,0.4,7,85,7.7,93.4,91039,60632-24,POINT (-87.711251 41.810038)
60632,25,06/14/2020,06/20/2020,68,3241,75,3560,503,8694,552,9549.8,0.1,0.4,2,87,2.2,95.6,91039,60632-25,POINT (-87.711251 41.810038)
60632,26,06/21/2020,06/27/2020,54,3295,59,3619.3,555,9249,610,10159.4,0.1,0.4,2,89,2.2,97.8,91039,60632-26,POINT (-87.711251 41.810038)
60632,27,06/28/2020,07/04/2020,51,3346,56,3675.3,468,9717,514,10673.4,0.1,0.3,3,92,3.3,101.1,91039,60632-27,POINT (-87.711251 41.810038)
60632,28,07/05/2020,07/11/2020,60,3406,66,3741.3,665,10382,730,11403.9,0.1,0.3,0,92,0.0,101.1,91039,60632-28,POINT (-87.711251 41.810038)
60632,29,07/12/2020,07/18/2020,57,3463,63,3803.9,745,11127,818,12222.2,0.1,0.3,2,94,2.2,103.3,91039,60632-29,POINT (-87.711251 41.810038)
60632,30,07/19/2020,07/25/2020,94,3557,103,3907.1,766,11893,841,13063.6,0.1,0.3,2,96,2.2,105.4,91039,60632-30,POINT (-87.711251 41.810038)
60632,31,07/26/2020,08/01/2020,119,3676,131,4037.8,827,12720,908,13972,0.1,0.3,1,97,1.1,106.5,91039,60632-31,POINT (-87.711251 41.810038)
60632,32,08/02/2020,08/08/2020,111,3787,122,4159.8,977,13697,1073,15045.2,0.1,0.3,0,97,0.0,106.5,91039,60632-32,POINT (-87.711251 41.810038)
60632,34,08/16/2020,08/22/2020,161,4050,177,4448.6,963,15563,1058,17094.9,0.2,0.3,0,98,0.0,107.6,91039,60632-34,POINT (-87.711251 41.810038)
60632,35,08/23/2020,08/29/2020,122,4172,134,4582.7,853,16416,937,18031.8,0.1,0.3,0,98,0.0,107.6,91039,60632-35,POINT (-87.711251 41.810038)
60633,16,04/12/2020,04/18/2020,14,29,109,225.3,53,116,412,901.3,0.3,0.2,0,0,0.0,0.0,12871,60633-16,POINT (-87.556037 41.653147)
60633,17,04/19/2020,04/25/2020,18,47,140,365.2,65,181,505,1406.3,0.3,0.3,0,0,0.0,0.0,12871,60633-17,POINT (-87.556037 41.653147)
60638,16,04/12/2020,04/18/2020,89,252,151,428.6,311,926,529,1574.9,0.3,0.3,3,6,5.1,10.2,58797,60638-16,POINT (-87.771902 41.787032)
60633,14,03/29/2020,04/04/2020,6,10,47,77.7,25,49,194,380.7,0.2,0.2,0,0,0.0,0.0,12871,60633-14,POINT (-87.556037 41.653147)
60638,17,04/19/2020,04/25/2020,157,409,267,695.6,475,1401,808,2382.8,0.3,0.3,1,7,1.7,11.9,58797,60638-17,POINT (-87.771902 41.787032)
60638,23,05/31/2020,06/06/2020,33,1080,56,1836.8,308,4377,524,7444.3,0.1,0.2,1,30,1.7,51.0,58797,60638-23,POINT (-87.771902 41.787032)
